"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"kornrenser","<div class=""article""><div class=""k""><b>kornrenser</b></div>fan</div>"
"korridor","<div class=""article""><div class=""k""><b>korridor</b></div>lobby</div>"
"korridor, vestibyle, foajè","<div class=""article""><div class=""k""><b>korridor, vestibyle, foajè</b></div>lobby</div>"
"korridorpolitiker","<div class=""article""><div class=""k""><b>korridorpolitiker</b></div>lobbyist</div>"
"korrigere","<div class=""article""><div class=""k""><b>korrigere</b></div>correct</div>"
"korrosjon","<div class=""article""><div class=""k""><b>korrosjon</b></div>corrosion</div>"
"korrosjon, rust","<div class=""article""><div class=""k""><b>korrosjon, rust</b></div>corrosion</div>"
"korrupt","<div class=""article""><div class=""k""><b>korrupt</b></div>corrupt</div>"
"kors","<div class=""article""><div class=""k""><b>kors</b></div>cross</div>"
"korsfestelse","<div class=""article""><div class=""k""><b>korsfestelse</b></div>crucifixion</div>"
"kort","<div class=""article""><div class=""k""><b>kort</b></div>brief<br/>short, brief<br/>short</div>"
"kort tur","<div class=""article""><div class=""k""><b>kort tur</b></div>jaunt</div>"
"kortfattet","<div class=""article""><div class=""k""><b>kortfattet</b></div>concise</div>"
"kortfattet, konsis","<div class=""article""><div class=""k""><b>kortfattet, konsis</b></div>concise</div>"
"kortslutning","<div class=""article""><div class=""k""><b>kortslutning</b></div>short circuit</div>"
"koselig","<div class=""article""><div class=""k""><b>koselig</b></div>cosy</div>"
"kost","<div class=""article""><div class=""k""><b>kost</b></div>broom</div>"
"kostbar","<div class=""article""><div class=""k""><b>kostbar</b></div>dear, expencive, valuable, pricey, expensive<br/>valuable</div>"
"kostbar, dyr","<div class=""article""><div class=""k""><b>kostbar, dyr</b></div>expencive<br/>expensive</div>"
"kostbar, kjær, dyr","<div class=""article""><div class=""k""><b>kostbar, kjær, dyr</b></div>dear</div>"
"kotelett","<div class=""article""><div class=""k""><b>kotelett</b></div>cutlet</div>"
"krabbe","<div class=""article""><div class=""k""><b>krabbe</b></div>crab</div>"
"kraft","<div class=""article""><div class=""k""><b>kraft</b></div>force, energy, juice</div>"
"kraft, energi","<div class=""article""><div class=""k""><b>kraft, energi</b></div>energy</div>"
"kraft, saft","<div class=""article""><div class=""k""><b>kraft, saft</b></div>juice</div>"
"kraftig","<div class=""article""><div class=""k""><b>kraftig</b></div>forcible, hearty, ablebodied</div>"
"kraftløs","<div class=""article""><div class=""k""><b>kraftløs</b></div>impotent</div>"
"krage","<div class=""article""><div class=""k""><b>krage</b></div>collar</div>"
"krage, snipp","<div class=""article""><div class=""k""><b>krage, snipp</b></div>collar</div>"
"krageben","<div class=""article""><div class=""k""><b>krageben</b></div>clavicle</div>"
"krampe","<div class=""article""><div class=""k""><b>krampe</b></div>cramp</div>"
"kran","<div class=""article""><div class=""k""><b>kran</b></div>crane</div>"
"krangel","<div class=""article""><div class=""k""><b>krangel</b></div>quarrel</div>"
"krangle","<div class=""article""><div class=""k""><b>krangle</b></div>quarrel</div>"
"krangle om detaljer","<div class=""article""><div class=""k""><b>krangle om detaljer</b></div>quibble</div>"
"kranglesyk","<div class=""article""><div class=""k""><b>kranglesyk</b></div>quarrelsome</div>"
"krans","<div class=""article""><div class=""k""><b>krans</b></div>garland</div>"
"krans, bekranse","<div class=""article""><div class=""k""><b>krans, bekranse</b></div>garland</div>"
"krav","<div class=""article""><div class=""k""><b>krav</b></div>demand</div>"
"kreativitet","<div class=""article""><div class=""k""><b>kreativitet</b></div>creativity</div>"
"kreativitet, skaperevne","<div class=""article""><div class=""k""><b>kreativitet, skaperevne</b></div>creativity</div>"
"kreditt","<div class=""article""><div class=""k""><b>kreditt</b></div>credit</div>"
"kreft","<div class=""article""><div class=""k""><b>kreft</b></div>cancer</div>"
"kremere","<div class=""article""><div class=""k""><b>kremere</b></div>cremate</div>"
"kremt","<div class=""article""><div class=""k""><b>kremt</b></div>hawk</div>"
"kremte","<div class=""article""><div class=""k""><b>kremte</b></div>hawk, hem</div>"
"kremte, hauk, kremt","<div class=""article""><div class=""k""><b>kremte, hauk, kremt</b></div>hawk</div>"
"krenging","<div class=""article""><div class=""k""><b>krenging</b></div>lurch</div>"
"krenke","<div class=""article""><div class=""k""><b>krenke</b></div>injure</div>"
"krenke, skade","<div class=""article""><div class=""k""><b>krenke, skade</b></div>injure</div>"
"krenkelse","<div class=""article""><div class=""k""><b>krenkelse</b></div>injury, invasion</div>"
"krenkende","<div class=""article""><div class=""k""><b>krenkende</b></div>injurious</div>"
"kreps","<div class=""article""><div class=""k""><b>kreps</b></div>crayfish</div>"
"kresen","<div class=""article""><div class=""k""><b>kresen</b></div>fastidious, fussy<br/>fastidious</div>"
"kresen, masete","<div class=""article""><div class=""k""><b>kresen, masete</b></div>fussy</div>"
"kreve","<div class=""article""><div class=""k""><b>kreve</b></div>demand, claim</div>"
"krevende","<div class=""article""><div class=""k""><b>krevende</b></div>exacting</div>"
"krig","<div class=""article""><div class=""k""><b>krig</b></div>war</div>"
"krigførende","<div class=""article""><div class=""k""><b>krigførende</b></div>belligerent</div>"
"kringkaste","<div class=""article""><div class=""k""><b>kringkaste</b></div>broadcast</div>"
"krise","<div class=""article""><div class=""k""><b>krise</b></div>crisis</div>"
"kristtorn","<div class=""article""><div class=""k""><b>kristtorn</b></div>holly</div>"
"kritikkløs","<div class=""article""><div class=""k""><b>kritikkløs</b></div>indiscriminate</div>"
"kritt","<div class=""article""><div class=""k""><b>kritt</b></div>chalk</div>"
"kro","<div class=""article""><div class=""k""><b>kro</b></div>inn</div>"
"kro, vertshus","<div class=""article""><div class=""k""><b>kro, vertshus</b></div>inn</div>"
"krok","<div class=""article""><div class=""k""><b>krok</b></div>hook</div>"
"kroket","<div class=""article""><div class=""k""><b>kroket</b></div>hooked</div>"
"kroning","<div class=""article""><div class=""k""><b>kroning</b></div>coronation</div>"
"kronologisk","<div class=""article""><div class=""k""><b>kronologisk</b></div>chronological</div>"
"krukke","<div class=""article""><div class=""k""><b>krukke</b></div>pitcher, jug, jar<br/>pitcher</div>"
"krum","<div class=""article""><div class=""k""><b>krum</b></div>hooked</div>"
"krusete","<div class=""article""><div class=""k""><b>krusete</b></div>fuzzy</div>"
"krutt","<div class=""article""><div class=""k""><b>krutt</b></div>gunpowder</div>"
"krybbedød","<div class=""article""><div class=""k""><b>krybbedød</b></div>cotdeath</div>"
"kryddek","<div class=""article""><div class=""k""><b>kryddek</b></div>spice</div>"
"krydder","<div class=""article""><div class=""k""><b>krydder</b></div>zest</div>"
"krydder, behag, glede","<div class=""article""><div class=""k""><b>krydder, behag, glede</b></div>zest</div>"
"krykke","<div class=""article""><div class=""k""><b>krykke</b></div>crutch</div>"
"krype for","<div class=""article""><div class=""k""><b>krype for</b></div>grovel</div>"
"kryss","<div class=""article""><div class=""k""><b>kryss</b></div>junction, cross, intersection</div>"
"kryss, knutepunkt","<div class=""article""><div class=""k""><b>kryss, knutepunkt</b></div>junction</div>"
"kryss, krysse, kors","<div class=""article""><div class=""k""><b>kryss, krysse, kors</b></div>cross</div>"
"kryss, skjæringspunkt","<div class=""article""><div class=""k""><b>kryss, skjæringspunkt</b></div>intersection</div>"
"krysse","<div class=""article""><div class=""k""><b>krysse</b></div>cross, intersect</div>"
"krysse, gjennomskjære","<div class=""article""><div class=""k""><b>krysse, gjennomskjære</b></div>intersect</div>"
"kråke","<div class=""article""><div class=""k""><b>kråke</b></div>crow</div>"
"krøke sammen","<div class=""article""><div class=""k""><b>krøke sammen</b></div>crouch</div>"
"krølle","<div class=""article""><div class=""k""><b>krølle</b></div>crumple<br/>curl, crumple<br/>curl</div>"
"krøpling","<div class=""article""><div class=""k""><b>krøpling</b></div>cripple</div>"
"ku","<div class=""article""><div class=""k""><b>ku</b></div>cow</div>"
"kuffert","<div class=""article""><div class=""k""><b>kuffert</b></div>trunk</div>"
"kul","<div class=""article""><div class=""k""><b>kul</b></div>hump</div>"
"kule","<div class=""article""><div class=""k""><b>kule</b></div>bullet</div>"
"kulepenn","<div class=""article""><div class=""k""><b>kulepenn</b></div>ballpoint pen</div>"
"kuleramme","<div class=""article""><div class=""k""><b>kuleramme</b></div>abacus</div>"
"kuling","<div class=""article""><div class=""k""><b>kuling</b></div>gale</div>"
"kuling, storm","<div class=""article""><div class=""k""><b>kuling, storm</b></div>gale</div>"
"kull","<div class=""article""><div class=""k""><b>kull</b></div>coal, hatch, litter<br/>coal</div>"
"kull, søppel","<div class=""article""><div class=""k""><b>kull, søppel</b></div>litter</div>"
"kultivere","<div class=""article""><div class=""k""><b>kultivere</b></div>cultivate</div>"
"kultivere, dyrke","<div class=""article""><div class=""k""><b>kultivere, dyrke</b></div>cultivate</div>"
"kulturelt","<div class=""article""><div class=""k""><b>kulturelt</b></div>cultural</div>"
"kunde","<div class=""article""><div class=""k""><b>kunde</b></div>customer</div>"
"kundekrets","<div class=""article""><div class=""k""><b>kundekrets</b></div>goodwill</div>"
"kunne","<div class=""article""><div class=""k""><b>kunne</b></div>know</div>"
"kunne, vite, kjenne til","<div class=""article""><div class=""k""><b>kunne, vite, kjenne til</b></div>know</div>"
"kunngjøre","<div class=""article""><div class=""k""><b>kunngjøre</b></div>advertise</div>"
"kunngjøre, reklamere","<div class=""article""><div class=""k""><b>kunngjøre, reklamere</b></div>advertise</div>"
"kunnskap","<div class=""article""><div class=""k""><b>kunnskap</b></div>knowledge</div>"
"kunnskap, kjennskap","<div class=""article""><div class=""k""><b>kunnskap, kjennskap</b></div>knowledge</div>"
"kunnskapsrik","<div class=""article""><div class=""k""><b>kunnskapsrik</b></div>knowledgeable</div>"
"kunst","<div class=""article""><div class=""k""><b>kunst</b></div>art</div>"
"kunstgjødsel","<div class=""article""><div class=""k""><b>kunstgjødsel</b></div>fertilizer</div>"
"kunstig","<div class=""article""><div class=""k""><b>kunstig</b></div>artificial</div>"
"kuppel","<div class=""article""><div class=""k""><b>kuppel</b></div>dome</div>"
"kupé","<div class=""article""><div class=""k""><b>kupé</b></div>coupe, compartment<br/>coupe</div>"
"kupé, avdeling","<div class=""article""><div class=""k""><b>kupé, avdeling</b></div>compartment</div>"
"kurs","<div class=""article""><div class=""k""><b>kurs</b></div>course</div>"
"kurv","<div class=""article""><div class=""k""><b>kurv</b></div>basket</div>"
"kurve","<div class=""article""><div class=""k""><b>kurve</b></div>curve</div>"
"kurve, sving","<div class=""article""><div class=""k""><b>kurve, sving</b></div>curve</div>"
"kuvøse","<div class=""article""><div class=""k""><b>kuvøse</b></div>incubator</div>"
"kvad","<div class=""article""><div class=""k""><b>kvad</b></div>lay</div>"
"kvad, legge","<div class=""article""><div class=""k""><b>kvad, legge</b></div>lay</div>"
"kvaksalver","<div class=""article""><div class=""k""><b>kvaksalver</b></div>quack</div>"
"kvaksalver, snadre, snadring","<div class=""article""><div class=""k""><b>kvaksalver, snadre, snadring</b></div>quack</div>"
"kval","<div class=""article""><div class=""k""><b>kval</b></div>anguish</div>"
"kvalifikasjon","<div class=""article""><div class=""k""><b>kvalifikasjon</b></div>qualification</div>"
"kvalifisere","<div class=""article""><div class=""k""><b>kvalifisere</b></div>qualify</div>"
"kvalitativ","<div class=""article""><div class=""k""><b>kvalitativ</b></div>qualitative</div>"
"kvalitet","<div class=""article""><div class=""k""><b>kvalitet</b></div>property, quality</div>"
"kvalitet, egenskap","<div class=""article""><div class=""k""><b>kvalitet, egenskap</b></div>quality</div>"
"kvalm","<div class=""article""><div class=""k""><b>kvalm</b></div>queazy</div>"
"kvantitet","<div class=""article""><div class=""k""><b>kvantitet</b></div>quantity</div>"
"kvantitet, mengde","<div class=""article""><div class=""k""><b>kvantitet, mengde</b></div>quantity</div>"
"kvartal","<div class=""article""><div class=""k""><b>kvartal</b></div>quarter</div>"
"kvarter","<div class=""article""><div class=""k""><b>kvarter</b></div>quarter</div>"
"kvarter, kvartal, fjærdedel","<div class=""article""><div class=""k""><b>kvarter, kvartal, fjærdedel</b></div>quarter</div>"
"kvegavl","<div class=""article""><div class=""k""><b>kvegavl</b></div>livestock farming</div>"
"kveil","<div class=""article""><div class=""k""><b>kveil</b></div>coil</div>"
"kveil, spiral","<div class=""article""><div class=""k""><b>kveil, spiral</b></div>coil</div>"
"kveite","<div class=""article""><div class=""k""><b>kveite</b></div>halibut</div>"
"kvekke","<div class=""article""><div class=""k""><b>kvekke</b></div>croak</div>"
"kveld","<div class=""article""><div class=""k""><b>kveld</b></div>evening</div>"
"kveldsmat","<div class=""article""><div class=""k""><b>kveldsmat</b></div>evening meal, supper</div>"
"kvele","<div class=""article""><div class=""k""><b>kvele</b></div>choke</div>"
"kvige","<div class=""article""><div class=""k""><b>kvige</b></div>heifer</div>"
"kvikk","<div class=""article""><div class=""k""><b>kvikk</b></div>quickly, swiftly, jaunty<br/>quickly<br/>swiftly</div>"
"kvinne","<div class=""article""><div class=""k""><b>kvinne</b></div>woman, female<br/>woman</div>"
"kvinnelig","<div class=""article""><div class=""k""><b>kvinnelig</b></div>feminine, female</div>"
"kvinnelig, hunn, kvinne","<div class=""article""><div class=""k""><b>kvinnelig, hunn, kvinne</b></div>female</div>"
"kvinner","<div class=""article""><div class=""k""><b>kvinner</b></div>women</div>"
"kvisteværelse","<div class=""article""><div class=""k""><b>kvisteværelse</b></div>garret</div>"
"kvitt","<div class=""article""><div class=""k""><b>kvitt</b></div>quits</div>"
"kvitt, skuls","<div class=""article""><div class=""k""><b>kvitt, skuls</b></div>quits</div>"
"kvittering","<div class=""article""><div class=""k""><b>kvittering</b></div>receipt</div>"
"kvote","<div class=""article""><div class=""k""><b>kvote</b></div>quota</div>"
"kylling","<div class=""article""><div class=""k""><b>kylling</b></div>chick<br/>chicken, chick</div>"
"kyniker","<div class=""article""><div class=""k""><b>kyniker</b></div>cynic</div>"
"kynisk","<div class=""article""><div class=""k""><b>kynisk</b></div>cynical</div>"
"kål","<div class=""article""><div class=""k""><b>kål</b></div>cabbage</div>"
"kåpe","<div class=""article""><div class=""k""><b>kåpe</b></div>mantle</div>"
"kåt","<div class=""article""><div class=""k""><b>kåt</b></div>horny</div>"
"kø","<div class=""article""><div class=""k""><b>kø</b></div>cue, queue<br/>cue<br/>queue</div>"
"la","<div class=""article""><div class=""k""><b>la</b></div>let</div>"
"laboratorium","<div class=""article""><div class=""k""><b>laboratorium</b></div>laboratory</div>"
"lade","<div class=""article""><div class=""k""><b>lade</b></div>load</div>"
"lading","<div class=""article""><div class=""k""><b>lading</b></div>loading</div>"
"lading, lasting","<div class=""article""><div class=""k""><b>lading, lasting</b></div>loading</div>"
"lag","<div class=""article""><div class=""k""><b>lag</b></div>layer</div>"
"lage furer i","<div class=""article""><div class=""k""><b>lage furer i</b></div>furrow</div>"
"lage rift i","<div class=""article""><div class=""k""><b>lage rift i</b></div>lacerate</div>"
"lagerbygning","<div class=""article""><div class=""k""><b>lagerbygning</b></div>magazine</div>"
"lagune","<div class=""article""><div class=""k""><b>lagune</b></div>lagoon</div>"
"laken","<div class=""article""><div class=""k""><b>laken</b></div>sheet</div>"
"laken, blad","<div class=""article""><div class=""k""><b>laken, blad</b></div>sheet</div>"
"lakk","<div class=""article""><div class=""k""><b>lakk</b></div>laquer</div>"
"lakkere","<div class=""article""><div class=""k""><b>lakkere</b></div>laquer</div>"
"lakkere, lakk","<div class=""article""><div class=""k""><b>lakkere, lakk</b></div>laquer</div>"
"lakris","<div class=""article""><div class=""k""><b>lakris</b></div>licorice, liquorice<br/>licorice<br/>liquorice</div>"
"laks","<div class=""article""><div class=""k""><b>laks</b></div>salmon</div>"
"lakserolje","<div class=""article""><div class=""k""><b>lakserolje</b></div>castor-oil</div>"
"lam","<div class=""article""><div class=""k""><b>lam</b></div>lamb</div>"
"lam, lamme","<div class=""article""><div class=""k""><b>lam, lamme</b></div>lamb</div>"
"lamme","<div class=""article""><div class=""k""><b>lamme</b></div>lamb</div>"
"lampe","<div class=""article""><div class=""k""><b>lampe</b></div>lamp</div>"
"lampeskjerm","<div class=""article""><div class=""k""><b>lampeskjerm</b></div>lamp shade</div>"
"land","<div class=""article""><div class=""k""><b>land</b></div>country<br/>land, country</div>"
"lande","<div class=""article""><div class=""k""><b>lande</b></div>land</div>"
"lande, land, havne","<div class=""article""><div class=""k""><b>lande, land, havne</b></div>land</div>"
"landevei","<div class=""article""><div class=""k""><b>landevei</b></div>highroad</div>"
"landflyktighet","<div class=""article""><div class=""k""><b>landflyktighet</b></div>exile</div>"
"landflyktighet, landsforvisning, eksil","<div class=""article""><div class=""k""><b>landflyktighet, landsforvisning, eksil</b></div>exile</div>"
"landgang","<div class=""article""><div class=""k""><b>landgang</b></div>debarkation<br/>gangway, debarkation</div>"
"landing","<div class=""article""><div class=""k""><b>landing</b></div>landing</div>"
"landsby","<div class=""article""><div class=""k""><b>landsby</b></div>village</div>"
"landsette","<div class=""article""><div class=""k""><b>landsette</b></div>debark, disembark<br/>debark</div>"
"landsette, gå i land, utskipe","<div class=""article""><div class=""k""><b>landsette, gå i land, utskipe</b></div>disembark</div>"
"landsetting","<div class=""article""><div class=""k""><b>landsetting</b></div>landing</div>"
"landsforvise","<div class=""article""><div class=""k""><b>landsforvise</b></div>expatriate</div>"
"landsforvise, eksil","<div class=""article""><div class=""k""><b>landsforvise, eksil</b></div>expatriate</div>"
"landsforvisning","<div class=""article""><div class=""k""><b>landsforvisning</b></div>expatriation, exile<br/>expatriation</div>"
"landskap","<div class=""article""><div class=""k""><b>landskap</b></div>landscape</div>"
"landsmann","<div class=""article""><div class=""k""><b>landsmann</b></div>compatriot</div>"
"lang","<div class=""article""><div class=""k""><b>lang</b></div>long</div>"
"lang kjole","<div class=""article""><div class=""k""><b>lang kjole</b></div>gown</div>"
"langfredag","<div class=""article""><div class=""k""><b>langfredag</b></div>Good Friday</div>"
"langsgående","<div class=""article""><div class=""k""><b>langsgående</b></div>longitudinal</div>"
"langsgående, lengde-","<div class=""article""><div class=""k""><b>langsgående, lengde-</b></div>longitudinal</div>"
"langsom","<div class=""article""><div class=""k""><b>langsom</b></div>slow</div>"
"langt borte","<div class=""article""><div class=""k""><b>langt borte</b></div>far</div>"
"langvarig","<div class=""article""><div class=""k""><b>langvarig</b></div>lingering</div>"
"lanse","<div class=""article""><div class=""k""><b>lanse</b></div>lance</div>"
"lansering","<div class=""article""><div class=""k""><b>lansering</b></div>launch</div>"
"lanterne","<div class=""article""><div class=""k""><b>lanterne</b></div>lantern</div>"
"lapp","<div class=""article""><div class=""k""><b>lapp</b></div>lobe</div>"
"lappeteppe","<div class=""article""><div class=""k""><b>lappeteppe</b></div>quilt</div>"
"lappeteppe, vatteppe","<div class=""article""><div class=""k""><b>lappeteppe, vatteppe</b></div>quilt</div>"
"laps","<div class=""article""><div class=""k""><b>laps</b></div>dandy</div>"
"larm","<div class=""article""><div class=""k""><b>larm</b></div>ado<br/>noise, din, din, ado</div>"
"larm, støy. bråk","<div class=""article""><div class=""k""><b>larm, støy. bråk</b></div>noise</div>"
"larmende","<div class=""article""><div class=""k""><b>larmende</b></div>clamorous</div>"
"larve","<div class=""article""><div class=""k""><b>larve</b></div>maggot, caterpillar, grub<br/>maggot</div>"
"larve, grave","<div class=""article""><div class=""k""><b>larve, grave</b></div>grub</div>"
"last","<div class=""article""><div class=""k""><b>last</b></div>cargo<br/>lading<br/>load, cargo, lading, freight</div>"
"last, laste, lade, belastning","<div class=""article""><div class=""k""><b>last, laste, lade, belastning</b></div>load</div>"
"laste","<div class=""article""><div class=""k""><b>laste</b></div>load</div>"
"lastebil","<div class=""article""><div class=""k""><b>lastebil</b></div>lorry, truck<br/>lorry<br/>truck</div>"
"lastebom","<div class=""article""><div class=""k""><b>lastebom</b></div>derrick</div>"
"lastebåt","<div class=""article""><div class=""k""><b>lastebåt</b></div>freighter</div>"
"lastet","<div class=""article""><div class=""k""><b>lastet</b></div>laden</div>"
"lasting","<div class=""article""><div class=""k""><b>lasting</b></div>loading</div>"
"lat","<div class=""article""><div class=""k""><b>lat</b></div>lazy, indolent</div>"
"lat, doven","<div class=""article""><div class=""k""><b>lat, doven</b></div>lazy</div>"
"late som","<div class=""article""><div class=""k""><b>late som</b></div>feign</div>"
"lathet","<div class=""article""><div class=""k""><b>lathet</b></div>indolence</div>"
"Latinsk","<div class=""article""><div class=""k""><b>Latinsk</b></div>Latin</div>"
"latter","<div class=""article""><div class=""k""><b>latter</b></div>laugh, laughter<br/>laughter</div>"
"latter, le","<div class=""article""><div class=""k""><b>latter, le</b></div>laugh</div>"
"latterlig","<div class=""article""><div class=""k""><b>latterlig</b></div>laughable<br/>ludicrous, laughable<br/>ludicrous</div>"
"laug","<div class=""article""><div class=""k""><b>laug</b></div>guild</div>"
"laurbær","<div class=""article""><div class=""k""><b>laurbær</b></div>laurel</div>"
"lav","<div class=""article""><div class=""k""><b>lav</b></div>lichen<br/>low, lichen</div>"
"lavadelen","<div class=""article""><div class=""k""><b>lavadelen</b></div>gentry</div>"
"lavadelen, fornemme folk","<div class=""article""><div class=""k""><b>lavadelen, fornemme folk</b></div>gentry</div>"
"lavendel","<div class=""article""><div class=""k""><b>lavendel</b></div>lavender</div>"
"lavere","<div class=""article""><div class=""k""><b>lavere</b></div>lower, inferior</div>"
"lavmælt","<div class=""article""><div class=""k""><b>lavmælt</b></div>hushed</div>"
"le","<div class=""article""><div class=""k""><b>le</b></div>laugh, lee<br/>lee</div>"
"ledd","<div class=""article""><div class=""k""><b>ledd</b></div>link, joint</div>"
"ledd, forbinde, forbindelse, lenke","<div class=""article""><div class=""k""><b>ledd, forbinde, forbindelse, lenke</b></div>link</div>"
"lede","<div class=""article""><div class=""k""><b>lede</b></div>head</div>"
"ledelse","<div class=""article""><div class=""k""><b>ledelse</b></div>direction, lead, leadership<br/>leadership</div>"
"ledelse, lodd, forsprang, vink, hovedrolle, bly","<div class=""article""><div class=""k""><b>ledelse, lodd, forsprang, vink, hovedrolle, bly</b></div>lead</div>"
"ledende","<div class=""article""><div class=""k""><b>ledende</b></div>leading</div>"
"leder","<div class=""article""><div class=""k""><b>leder</b></div>executive, leader, head, director<br/>leader</div>"
"leder, lede, hode","<div class=""article""><div class=""k""><b>leder, lede, hode</b></div>head</div>"
"leder, styremedlem, direktør","<div class=""article""><div class=""k""><b>leder, styremedlem, direktør</b></div>director</div>"
"leder, utførende, utøvende","<div class=""article""><div class=""k""><b>leder, utførende, utøvende</b></div>executive</div>"
"lederartikkel","<div class=""article""><div class=""k""><b>lederartikkel</b></div>editorial</div>"
"ledig","<div class=""article""><div class=""k""><b>ledig</b></div>unoccupied<br/>vacant, unoccupied, disengaged, free</div>"
"ledig, befri, utvungen, fri, gratis, frigjøre","<div class=""article""><div class=""k""><b>ledig, befri, utvungen, fri, gratis, frigjøre</b></div>free</div>"
"lediggang","<div class=""article""><div class=""k""><b>lediggang</b></div>idleness</div>"
"lediggang, dovenskap","<div class=""article""><div class=""k""><b>lediggang, dovenskap</b></div>idleness</div>"
"ledning","<div class=""article""><div class=""k""><b>ledning</b></div>flex</div>"
"ledsage","<div class=""article""><div class=""k""><b>ledsage</b></div>accompany<br/>escort, accompany, attend</div>"
"ledsage, besøke, betjene","<div class=""article""><div class=""k""><b>ledsage, besøke, betjene</b></div>attend</div>"
"ledsage, eskorte","<div class=""article""><div class=""k""><b>ledsage, eskorte</b></div>escort</div>"
"leende","<div class=""article""><div class=""k""><b>leende</b></div>laughing</div>"
"legalisere","<div class=""article""><div class=""k""><b>legalisere</b></div>legalize</div>"
"legalisere, lovliggjøre","<div class=""article""><div class=""k""><b>legalisere, lovliggjøre</b></div>legalize</div>"
"legalt","<div class=""article""><div class=""k""><b>legalt</b></div>legally</div>"
"legalt, juridisk","<div class=""article""><div class=""k""><b>legalt, juridisk</b></div>legally</div>"
"legasjon","<div class=""article""><div class=""k""><b>legasjon</b></div>legation</div>"
"legat","<div class=""article""><div class=""k""><b>legat</b></div>foundation, endowment</div>"
"legat, gave","<div class=""article""><div class=""k""><b>legat, gave</b></div>endowment</div>"
"lege","<div class=""article""><div class=""k""><b>lege</b></div>doctor, physician</div>"
"legeme","<div class=""article""><div class=""k""><b>legeme</b></div>body</div>"
"legemiddel","<div class=""article""><div class=""k""><b>legemiddel</b></div>drug</div>"
"legemliggjøre","<div class=""article""><div class=""k""><b>legemliggjøre</b></div>embody, incarnate<br/>embody<br/>incarnate</div>"
"legemliggjørelse","<div class=""article""><div class=""k""><b>legemliggjørelse</b></div>embodiment</div>"
"legendarisk","<div class=""article""><div class=""k""><b>legendarisk</b></div>legendary</div>"
"legende","<div class=""article""><div class=""k""><b>legende</b></div>legend</div>"
"legende, sagn","<div class=""article""><div class=""k""><b>legende, sagn</b></div>legend</div>"
"legg","<div class=""article""><div class=""k""><b>legg</b></div>calf</div>"
"legg, kalv","<div class=""article""><div class=""k""><b>legg, kalv</b></div>calf</div>"
"legge","<div class=""article""><div class=""k""><b>legge</b></div>lay</div>"
"legge bi","<div class=""article""><div class=""k""><b>legge bi</b></div>heave to</div>"
"legge inn på sykehus","<div class=""article""><div class=""k""><b>legge inn på sykehus</b></div>hospitalize</div>"
"legge sammen","<div class=""article""><div class=""k""><b>legge sammen</b></div>fold up</div>"
"legge sammen, opphøre","<div class=""article""><div class=""k""><b>legge sammen, opphøre</b></div>fold up</div>"
"legge til","<div class=""article""><div class=""k""><b>legge til</b></div>add</div>"
"legitimere","<div class=""article""><div class=""k""><b>legitimere</b></div>legitimate</div>"
"legitimere, ektefødt, lovliggjøre, lovmessig","<div class=""article""><div class=""k""><b>legitimere, ektefødt, lovliggjøre, lovmessig</b></div>legitimate</div>"
"lei","<div class=""article""><div class=""k""><b>lei</b></div>fed up</div>"
"leider","<div class=""article""><div class=""k""><b>leider</b></div>ladder</div>"
"leider, stige","<div class=""article""><div class=""k""><b>leider, stige</b></div>ladder</div>"
"leie","<div class=""article""><div class=""k""><b>leie</b></div>rent money, rent, hire, lease<br/>rent money<br/>rent</div>"
"leieboer","<div class=""article""><div class=""k""><b>leieboer</b></div>lodger</div>"
"leiekontrakt","<div class=""article""><div class=""k""><b>leiekontrakt</b></div>lease</div>"
"leier","<div class=""article""><div class=""k""><b>leier</b></div>leaseholder</div>"
"leier, forpakter","<div class=""article""><div class=""k""><b>leier, forpakter</b></div>leaseholder</div>"
"leilighet","<div class=""article""><div class=""k""><b>leilighet</b></div>flat</div>"
"leire","<div class=""article""><div class=""k""><b>leire</b></div>clay</div>"
"leirjord","<div class=""article""><div class=""k""><b>leirjord</b></div>loam</div>"
"leirplass","<div class=""article""><div class=""k""><b>leirplass</b></div>camping ground, camping site<br/>camping ground<br/>camping site</div>"
"leken","<div class=""article""><div class=""k""><b>leken</b></div>frisky</div>"
"leken, spretten","<div class=""article""><div class=""k""><b>leken, spretten</b></div>frisky</div>"
"leketøy","<div class=""article""><div class=""k""><b>leketøy</b></div>toy</div>"
"lekk","<div class=""article""><div class=""k""><b>lekk</b></div>leak</div>"
"lekkasje","<div class=""article""><div class=""k""><b>lekkasje</b></div>leakage, leak<br/>leakage</div>"
"lekkasje, lekk","<div class=""article""><div class=""k""><b>lekkasje, lekk</b></div>leak</div>"
"lekker","<div class=""article""><div class=""k""><b>lekker</b></div>luscious, dainty</div>"
"lekker, delikat","<div class=""article""><div class=""k""><b>lekker, delikat</b></div>dainty</div>"
"lekker, saftig","<div class=""article""><div class=""k""><b>lekker, saftig</b></div>luscious</div>"
"lekkerbisken","<div class=""article""><div class=""k""><b>lekkerbisken</b></div>delicacy</div>"
"lekkerbisken, finfølelse","<div class=""article""><div class=""k""><b>lekkerbisken, finfølelse</b></div>delicacy</div>"
