Norwegian,English
kvinne,"woman, female"
kvinnelig,"feminine, female"
"kvinnelig, hunn, kvinne",female
kvinner,women
kvisteværelse,garret
kvitt,quits
"kvitt, skuls",quits
kvittering,receipt
kvote,quota
kylling,"chick, chicken"
kyniker,cynic
kynisk,cynical
kål,cabbage
kåpe,mantle
kåt,horny
kø,"cue, queue"
la,let
laboratorium,laboratory
lade,load
lading,loading
"lading, lasting",loading
lag,layer
lage furer i,furrow
lage rift i,lacerate
lagerbygning,magazine
lagune,lagoon
laken,sheet
"laken, blad",sheet
lakk,laquer
lakkere,laquer
"lakkere, lakk",laquer
lakris,"licorice, liquorice"
laks,salmon
lakserolje,castor-oil
lam,lamb
"lam, lamme",lamb
lamme,lamb
lampe,lamp
lampeskjerm,lamp shade
land,"country, land"
lande,land
"lande, land, havne",land
landevei,highroad
landflyktighet,exile
"landflyktighet, landsforvisning, eksil",exile
landgang,"debarkation, gangway"
landing,landing
landsby,village
landsette,"debark, disembark"
"landsette, gå i land, utskipe",disembark
landsetting,landing
landsforvise,expatriate
"landsforvise, eksil",expatriate
landsforvisning,"expatriation, exile"
landskap,landscape
landsmann,compatriot
lang,long
lang kjole,gown
langfredag,Good Friday
langsgående,longitudinal
"langsgående, lengde-",longitudinal
langsom,slow
langt borte,far
langvarig,lingering
lanse,lance
lansering,launch
lanterne,lantern
lapp,lobe
lappeteppe,quilt
"lappeteppe, vatteppe",quilt
laps,dandy
larm,"ado, noise, din"
"larm, støy. bråk",noise
larmende,clamorous
larve,"maggot, caterpillar, grub"
"larve, grave",grub
last,"cargo, lading, load, freight"
"last, laste, lade, belastning",load
laste,load
lastebil,"lorry, truck"
lastebom,derrick
lastebåt,freighter
lastet,laden
lasting,loading
lat,"lazy, indolent"
"lat, doven",lazy
late som,feign
lathet,indolence
Latinsk,Latin
latter,"laugh, laughter"
"latter, le",laugh
latterlig,laughable ludicrous
laug,guild
laurbær,laurel
lav,"lichen, low"
lavadelen,gentry
"lavadelen, fornemme folk",gentry
lavendel,lavender
lavere,"lower, inferior"
lavmælt,hushed
le,"laugh, lee"
ledd,"link, joint"
"ledd, forbinde, forbindelse, lenke",link
lede,head
ledelse,"direction, lead, leadership"
"ledelse, lodd, forsprang, vink, hovedrolle, bly",lead
ledende,leading
leder,"executive, leader, head, director"
"leder, lede, hode",head
"leder, styremedlem, direktør",director
"leder, utførende, utøvende",executive
lederartikkel,editorial
ledig,"unoccupied, vacant, disengaged, free"
"ledig, befri, utvungen, fri, gratis, frigjøre",free
lediggang,idleness
"lediggang, dovenskap",idleness
ledning,flex
ledsage,"accompany, escort, attend"
"ledsage, besøke, betjene",attend
"ledsage, eskorte",escort
leende,laughing
legalisere,legalize
"legalisere, lovliggjøre",legalize
legalt,legally
"legalt, juridisk",legally
legasjon,legation
legat,"foundation, endowment"
"legat, gave",endowment
lege,"doctor, physician"
legeme,body
legemiddel,drug
legemliggjøre,"embody, incarnate"
legemliggjørelse,embodiment
legendarisk,legendary
legende,legend
"legende, sagn",legend
legg,calf
"legg, kalv",calf
legge,lay
legge bi,heave to
legge inn på sykehus,hospitalize
legge sammen,fold up
"legge sammen, opphøre",fold up
legge til,add
legitimere,legitimate
"legitimere, ektefødt, lovliggjøre, lovmessig",legitimate
lei,fed up
leider,ladder
"leider, stige",ladder
leie,"rent, money, hire, lease"
leieboer,lodger
leiekontrakt,lease
leier,leaseholder
"leier, forpakter",leaseholder
leilighet,flat
leire,clay
leirjord,loam
leirplass,"camping ground, camping, site ground"
leken,frisky
"leken, spretten",frisky
leketøy,toy
lekk,leak
lekkasje,"leakage, leak"
"lekkasje, lekk",leak
lekker,"luscious, dainty"
"lekker, delikat",dainty
"lekker, saftig",luscious
lekkerbisken,delicacy
"lekkerbisken, finfølelse",delicacy
lekmann,layman
lekse,lesson
lekte,lath
lekter,barge
"lekter, pram",barge
lem,limb
lempe,heave
"lempe, forskyve, hale og dra",heave
lend,loin
"lend, kam",loin
lene,lean
lenestol,arm-chair easychair
lengde,length
lengde-,longitudinal
lengdegrad,longitude
lenge,long
"lenge, lengte, lang",long
lenger,further
lengre,farther
lengsel,"longing, yearning"
lengselsfull,longing
"lengselsfull, lengsel",longing
lengst,farthest
"lengst, fjernest",farthest
lengte,"long, yearn"
lenke,"link, fetter"
"lenke, fotlenke",fetter
lensvesen,feudalism
"lensvesen, føydalisme",feudalism
leppe,lip
leppestift,lipstick
lerk,larch
lerke,lark
"lerke, moro",lark
lesbisk,lesbian
lese,read
leseferdighet,literacy
"leseferdighet, skriveferdighet",literacy
leselig,legible
lesjon,lesion
lespe,lisp
leting,quest
lett,"easy, light"
lett antennelig,combustible
lette,"ease, lighten, facilitate, lift"
letthet,"ease, facility"
lettlurt,dupe
lettroende,gullible
lettsindighet,frivolity
"lettsindighet, fjollethet",frivolity
lettsinn,levity
lettsmeltelig,fusible
leve,live
levebrød,"livelihood, living"
"levebrød, livsførsel, levende",living
levende,living
lever,liver
leverandør,provider
levere,"deliver supply, hand"
levering,delivery
leverpostei,liverpaste
li,"hillside, hikside"
"li, åsside",hikside hillside
liberal,liberal
"liberal, frisinnet, gavmild",liberal
lidderlig,lecherous
lidelse,affliction
lidenskap,fire
lider,ferret
"lider, oppspore, fritte",ferret
liga,league
ligament,ligament
"ligament, bånd",ligament
ligge,lie
ligge på lur,lurk
ligning,equation
"ligning, likestilling",equation
lik,"corpse, even, like, equal"
likblek,ghastly
like,equal
likefram,blunt
"likefram, sløv",blunt
likegyldig,indifferent
"likegyldig, middelmådig",indifferent
likegyldighet,indifference
likeledes,likewise
"likeledes, likeså",likewise
likestilling,"equation, equality"
"likestilling, likhet",equality
likestrøm,direct-current
likeså,likewise
liketil,forthright
likevekt,equilibrium
likevel,yet
likeverd,equivalence
likhet,"likeness, equality"
likskue,inquest
likvidere,liquidate
"likvidere, avvikle",liquidate
likviditet,liquidity
likvogn,hearse
likør,liqueur
lilje,lily
lilla,"lilac, purple"
"lilla, purpur",purple
lim,glue
lime inn,paste
limettsitron,lime
lin,"flax, linen"
lind,"linden, lime"
"lind, kalk, limettsitron",lime
linfrø,linseed
linje,line
linjere,line
linse,"lentil, lens"
"linse, objektiv",lens
lisens,licence
"lisens, bevilling, avgift",licence
lisse,lace
"lisse, snøre, knipling",lace
list,guile
liste,list
listeføre,list
lite,little
lite hus,cottage
liten,"diminutive, small, young"
liten foss,cascade
liten løgn,fib
liten uenighet,quibble
"liten uenighet, krangle om detaljer",quibble
liter,liter litre
litt,little
"litt, lite",little
litteratur,literature
litterær,literary
liv,life lives
livbelte,lifebelt safety-belt
live opp,exhilarate
livlig,"brisk, lively"
livløs,lifeless
livsførsel,living
livstid,lifetime
livsvarig,lifelong
lo,fluff
lobbe,lob
lodd,lead
lodde,"capelin, fathom"
"lodde, favn",fathom
lodden,hairy
loddtrekning,lot
"loddtrekning, skjebne",lot
loft,attic
loggbok,log
"loggbok, tømmerstokk",log
logikk,logic
logisk,logical
lojal,loyal
"lojal, trofast",loyal
lojalitet,loyalty
lokal,local
"lokal, stedlig, kommunal",local
lokalisere,"localize, locate"
"lokalisere, stedfeste",localize
lokk,"lid, cover"
"lokk, deksel",lid
lokke,"entice, lure"
lokke fram,elicit
lokkefugl,decoy
lokkemat,"lure, bait"
"lokkemat, lokke",lure
lokomotiv,locomotive
"lokomotiv, bevegelses-",locomotive
lomme,pocket
lommekniv,pen-knife
lommelerke,"hipflask, flask"
lommelykt,"electric torch, flashlight"
lommetørkle,handkerchief
loppe,flea
loppemarked,"fleamarket, jumble sale"
los,pilot
losje,lodge
"losje, losjere, hytte",lodge
losjere,lodge
lossebom,derrick
lotteri,lottery
lov,law
lovgivende,legislative
lovgivning,legislation
lovlig,"legal, lawful"
lovliggjøre,"legalize, legitimate"
lovlighet,legality
lovløs,lawless
lovmessig,legitimate
lovovertredelse,delinquency
lovovertreder,deliquent
lovprise,exalt
lovtale,eulogy
lubben,chubby
luft,air
luftfukter,humidifier
lufthavn,airport
"lufthavn, flyplass",airport
luftig,aerial
luftpost,air-mail
luftputefartøy,hovercraft
lugar,cabin
"lugar, hytt, hytte, kahytt",cabin
luke,"ticket-window, window, hatch"
lukke,fasten
"lukke, feste",fasten
luksuriøs,luxurious
"luksuriøs, overdådig",luxurious
luksus,luxury
lukte,"give off an odour, reek, smell"
lund,grove
lune,"caprice, quirk, freak"
"lune, original",freak
"lune, særhet, innfall",quirk
lunge,lung
lunken,lukewarm
lunsj,lunch snack
lunte,fuse
lure,"dupe, con, humbug"
lure seg unna,evade
"lure seg unna, unngå",evade
"lure, svindel",con
lureri,"foul play, humbug, imposition"
lurt påfunn,ingenuity
lus,louse
lusete,lousy
"lusete, elendig",lousy
lut,lye
lydig,dutiful
lykke,"felicity, happiness, fortune, luck"
lykkelig,happily
lykksalig,bliss
lykkønske,felicitate
lykkønsning,felicitation
lykt,lantern
"lykt, lanterne",lantern
lyktestolpe,lamp post
lymfeknute,lymphatic node
lyn,lightning
lynavleder,lightning rod
lyng,heather
lynsje,lynch
lyrisk,lyric
lys,"candle, light"
lyse,"light, lighten"
"lyse, opplyse, oppmuntre, lette",lighten
lysekrone,chandelier
lysingsblad,gazette
"lysingsblad, tidsskrift",gazette
lyske,groin
lysning,glade
lysrør,fluorescent tube
lyst,lust
lystbåt,yacht
lystent blikk,leer
lystig,"cheerful, jolly, merry, gay"
lystighet,gaiety
lytte,listen
lyve,lie
lån,loan
"lån, utlån",loan
låne,borrow
låne ut,lend
lår,"leg, thigh"
"lår, ben, etappe",leg
lås,"fastener, lock, interlock"
låse,lock
"låse, sluse, hårlokk, lås",lock
låsesmed,locksmith
låve,barn
lær,leather
læraktig,leathery
"læraktig, seigt",leathery
lærd,learned
lærdom,"erudition, learning"
lære,"teach, learn"
"lære, erfare",learn
lærepenge,lesson
lærer,"instructor, teacher"
lærerik,instructive
læring,learning
"læring, lærdom",learning
lærling,"apprentice, learner"
lærret,linen cloth
løft,lift
løgn,"falsehood, lie"
"løgn, ligge, lyve",lie
løgner,liar
løk,onion
løkke,loop
"løkke, sløyfe",loop
lønnsom,lucrative
"lønnsom, innbringende",lucrative
løpe,run
løpetid,heat
"løpetid, varme opp, pulje, heftighet, hete",heat
lørdag,saturday
løs,loose
"løs, vid",loose
løsgjøring,detachment
løslatelse,discharge
"løslatelse, avmønstring, utskrivning",discharge
løsne,loosen
løv,"leaves, leaf"
"løv, blad",leaves
løve,lion
løvetann,dandelion
løvsag,fretsaw jigsaw
løvverk,foliage
løytnant,lieutenant
madrass,mattress
magasin,magazine
mage-,gastric
mager,"lank, haggard, lean"
"mager, glatt",lank
magesår,gastrulcer
magi,magic
magiker,magician
"magiker, trollmann",magician
magisk,"magic, magical"
"magisk, magi",magic
mai,May
mais,corn
makrell,mackerel
"makrell, makrell",mackerel
makron,macaroon
makt,force
male,grind
maler,painter
maleri,"painting, picture"
maling,grind
malm,mineral
malplassert,"inept, inappropriate"
"malplassert, upassende",inappropriate
man,you
"man, du, dere, Dem, deg, De",you
mandag,monday
manet,jellyfish
mangel,"deficiency, flaw, lack, defect, absence"
mangel på aktelse,disrespect
mangel på måtehold,intemperance
"mangel, hoppe av, feil",defect
"mangel, mangle",lack
mangelfull,"defective, deficient, imperfect, faulty"
"mangelfull, utilstrekkelig",deficient
mangle,lack
manglende evne,"inability, incapability"
mani,craze
mannskap,crew
manøvrere,jockey
mappe,folder
markere,indicate
markise,awning
markør,cursor
marmelade,marmelade
mars,March
mase,fuss
masete,fussy
maskere,disguise
"maskere, forkledning, forkle",disguise
maskin,"machine, engine"
"maskin, maskin",machine
"maskin, motor",engine
maskineri,machinery
maskinvare,hardware
massevis,heaps
mat,food
mate,feed
matt,"dull, dim, faint"
mattslipt,frosted
"mattslipt, dekket av rim",frosted
matvarer,eatables
maur,ant
maur-,formic
maurmiddel,formicide
maurtue,anthill
mave,"abdomen, belly, stomach, tummy"
"mave, buk",abdomen tummy
med,with
med bly,leaded
med glasur,iced
"med glasur, avkjølt",iced
med glede,gladly
med kapper,flounced
medaljong,locket
meddele,inform
meddelsom,expansive
medfødt,"inborn, innate, inherent"
medføre,"entail, involve"
medgift,dowry
medisin,"medicine, drug, pharmaceutical"
medlem,fellow
"medlem, stipendiat, kamerat",fellow
medlidenhet,compassion
medskyldig,accessory
medvirkende,instrumental
"medvirkende, instrumental",instrumental
meget,very much
meget irriterende,infuriating
megetsigende,knowing
megle,intercede
meieri,dairy
meisel,chisel
meitemark,earthworm
mekler,broker
mel,"flour, meal"
"mel, måltid",meal
melbolle,dumpling
melde på,enrol
"melde på, skrive inn",enrol
melis,icing sugar
melk,milk
mellom-,intermediate
"mellom-, mellomliggende",intermediate
mellomgulv,diaphragm
"mellomgulv, blender, pessar",diaphragm
mellomliggende,"interjacent, intermediate"
mellommann,intermediary
mellomrom,interval
"mellomrom, pause",interval
mellomspill,interlude
"mellomspill, pause",interlude
melon,melon
mengde,"crowd, quantity"
menge seg med,hobnob with
menneske,"man, human being, human"
"menneske, menneske",human being
menneskehet,humanity
"menneskehet, mennesklighet",humanity
mennesker,folk
"mennesker, folk",folk
mennesklig,human
mennesklighet,humanity
mer,further
"mer, ytterligere, lenger",further
merke,"badge, ensign, imprint, detect"
merkelapp,label
merkelig,"extraordinary, queer"
"merkelig, rar, homofil",queer
messe,chant
messing,brass
metall,metal
meter,"meter, metre"
middag,dinner
middel,"means, remedy, resources"
middelmådig,indifferent
mild,"balmy, lenient, genial"
"mild, skånsom",lenient
mildne,extenuate
miljø,"environmental, environment"
miljøforkjemper,environmentalist
mindre,"lesser, less"
mindreverdig,inferior
mindreverdighetskompleks,inferiority complex
mine,look
minke,"ebb, lessen, decrease"
"minke, minske, avta",lessen
minske,lessen
minst,"least, lesser"
"minst, mindre",lesser
minus,less
"minus, mindre",less
minutt,minute
misbillige,frown on
misbruk,abuse
misbruke,abuse
"misbruke, misbruk, skjelle ut",abuse
misdanne,deform
misdannelse,deformity
misdannet,deformed
misforhold,disproportion
misfornøyd,"discontented, dissatisfied"
misforstælse,misunderstanding
misfoster,abortion
"misfoster, abort",abortion
mislykket,abortive
misnøye,discontent dissatisfaction
mistak,"mistake, error"
"mistak, feil",error
miste,lose
mistillit,distrust
"mistillit, mistro",distrust
mistro,"disbelieve, distrust"
misunne,"grudge, envy"
"misunne, misunnelse",envy
misunnelig,envious
misunnelse,envy
misunnelsesverdig,enviable
mo,heath
moden,"mature, ripe"
moderne,fashionable
modifisere,qualify
"modifisere, kvalifisere",qualify
modig,"brave, courageous, gritty"
"modig, sandete",gritty
"modig, tapper",brave
modulasjon,inflection
"modulasjon, bøyning",inflection
modulere,inflect
momentant,instantaneous
montere,assemble
"montere, komme sammen",assemble
montering,fitting
montør,fitter
moped,moped
mor,mother
mord,homicide
morder,killer
more,entertain
morgen,morning
moro,"lark, fun"
"moro, fornøyelse",fun
morsom,"funny, jolly, humorous"
"morsom, pussig",funny
"morsom, veldig, lystig",jolly
mosjon,exercise
"mosjon, mosjonere, utøvelse",exercise
mosjonere,exercise
mot,"across from, courage, grit, opposed to, courage"
motbydelig,disgusting loathsome
mote,fashion
motgang,hardship
motgift,antidote
mothake,barb
motløs,despondent
motløshet,despondency
motor,"motor, engine"
motorsykkel,motorcycle
motorvei,freeway
motsatt,contrary
motsi,contradict
motsigelse,contradiction
motstand,resistance
motstander,adversary
motstykke,counterpart
motstå,resist
motta,recieve
mottaker,reciever
motvekt,counterbalance
motvilje,dislike
motvind,headwind
motvirke,counteract
muddermaskin,dredge
mudre,dredge
"mudre, muddermaskin",dredge
mugge,jug
mulesel,hinny
mulig,feasible
muligens,probably
"muligens, sannsynligvis",probably
mulighet,feasibility
muligheter,facilities
"muligheter, hjelpemidler",facilities
mulkt,fine
multimedia,multimedia
munn,mouth
munter,"jaunty, gay"
"munter, kvikk",jaunty
munterhet,frolic
"munterhet, boltre seg",frolic
murstein,brick
mus,mouse
mus-matte,mousepad
museum,museum
musikk,music
musling,clam
musserende,fizzy
mutter,nut
"mutter, nøtt",nut
mye,a lot
mygg,"gnat, mosquito"
mynde,greyhound
myndig,imperative
"myndig, absolutt nødvendig, imperativ",imperative
myndighet,"authority, gouvernment"
mynt,coin
myr,bog
måke,gull seagull
mål,"goal, measure, measurement, purpose"
måler,gauge
"måler, sporvidde, mål, dimensjon",gauge
målføre,dialect
målløs,dumbfounded
måltid,"feed, meal"
"måltid, fôre, mate, spise",feed
målvakt,goalkeeper
måne,moon
"måne, måne",moon
måne-,lunar
måned,month
måpe,gape
måte,fashion
"måte, mote",fashion
måtte,have to
mønster,"pattern, specimen, sample"
mønstergyldig,exemplary
mønstret,fancy
"mønstret, innbilning, pyntet, fantasi",fancy
mørk,dark
"mørk, mørkt",dark
mørke,darkness
mørkeblå,dark blue
mørkne,darken
mørkt,dark
møte,"come across, meet, encounter"
møteplager,heckler
nabo,neighbor neighbour
nag,"despite, grudge"
"nag, til tross for",despite
nage,gnaw
narkoman,junkie
narkotika,"junk, drug"
"narkotika, legemiddel, medisin, bedøve, dop",drug
"narkotika, skrap",junk
narkotikum,dope
"narkotikum, dop, stoff",dope
narr,jester
"narr, spøkefugl",jester
narre,"delude, frame, dupe, fool"
"narre, lure, lettlurt",dupe
natt,night
natur,nature
naturgjødsel,dung
nav,hub
navn,appellation name
ne,"not, no"
nebb,beak
ned,"down underneath, below"
nedblendingskontakt,dipper
nedbryte,disintegrate
nedenunder,downstairs
nederlag,defeat
Nederland,"Dutchland, holland"
Nederlandsk,Dutch
nedfall,fallout
nedgang,"decline, decrease"
"nedgang, forfall, avta, avslå",decline
"nedgang, redusere, avta, minke",decrease
nedlasting,downloading
nedlate seg,condescend
nedlatende,condescending
nedover,downwards
nedre,lower
nedriving,demolition
nedruste,disarm
nedrustning,disarmament
nedsettende,derogatory
nedslag,landing
nedslått,"dejected, low"
"nedslått, simpel, lav, dyp",low
nedtrykking,depression
"nedtrykking, depresjon",depression
nedtrykt,"depressed, glum"
nedtynget,laden
"nedtynget, lastet",laden
nedvurdere,depreciate
"nedvurdere, synke i verdi",depreciate
negl,nail
"negl, spiker",nail
neglelakk,nail-varnish
nekte,denigh
nellik,carnation
neppe,hardly
nervøs,"jittery, nervous, excitable, jumpy, fraught"
"nervøs, pirrelig",excitable
"nervøs, urolig",jumpy
nese,"flair, nose"
"nese, nese",nose
"nese, teft, eleganse",flair
nesevis,impertinent
nesevishet,impertinence
nestekjærlig,charitable
nestekjærlighet,charity
nesten,"almost, nearly"
nesten ikke,hardly
"nesten ikke, neppe",hardly
netthendt,deft
nettopp,"just, exactly"
neve,fist
nevø,nephew
ni,nine
nidkjær,zealous
niende,ninth
nikkers,knickers
nisse,hobgoblin
nitten,nineteen
nitti,ninety
nivå,level
noen få,a few
noensinne,ever
nok,enough sufficient
nokså,fairly
nord,north
norsk,norwegian
notere,quote
notering,quotation
"notering, sitat",quotation
november,November
null,"zero, null"
nummer,"number, amount"
nummerskilt,numberplate
nummerskive,dial
"nummerskive, urskive, slå telefonnummer",dial
ny,"new, novel, fresh"
"ny, frisk, fersk, uerfaren",fresh
nyanse,gradation
nylon,nylon
nynne,hum
nype,hip
"nype, hofte",hip
nyre,kidney
nyskapning,innovation
nyskjerrig,"curious, inquisitive"
"nyskjerrig, vitebegjærlig",inquisitive
nyskjerrighet,curiosity
nyte,enjoy
"nyte, glede seg ved",enjoy
nytelse,"enjoyment, gusto"
"nytelse, velbehag",gusto
nytteløs,fruitless
nyttig,helpful
"nyttig, hjelpsom",helpful
nyttiggjøring,exploitation
"nyttiggjøring, utnyttelse",exploitation
nå,"at present, now"
nådig,gracious
nål,needle
nåletre,conifer
"nåletre, nåletre",conifer
nær,"beside, close, near to, nearby"
nær forestående,impending
næring,nourishment
næringsvei,industry
nærjager,interceptor
nød,"destitution, distress"
nødbremse,communication-cord
nødlidende,destitute
"nødlidende, blottet for",destitute
nødstilfelle,emergency
nøkkel,key wrench
nøkkelhull,keyhole
nøkkelring,keyring
nøle,"falter, hesitate, linger"
nølende,faltering
nøling,hesitation
nøtt,nut
nøtteskrike,jay
nøyaktig,"exact, exactly"
"nøyaktig, nettopp",exactly
nøyaktighet,"accuracy, exactness"
nøysom,frugal
nøytral,neutral
oberst,colonel
objektiv,lens
offer,victim
og,and
også,"also, too"
oksekjøtt,beef
oktober,October
oliven,olive
olje,oil
om,"about, if, in"
om bord,aboard
"om, hvis",if
"om, i nærheten, ved, circa, omkring, omtrent",about
omdirigere,divert
omelett,"omelet, omelette"
omfang,extent
"omfang, utstrekning",extent
omfatte,include
"omfatte, inkludere",include
omfattende,"comprehensive, extensive"
omfavne,"clinch, hug, embrace, clasp"
omgi,girdle
"omgi, belte, hofteholder",girdle
omgivelse,environment
omgivelser,environment
"omgivelser, miljø, omgivelse",environment
omgjengelig,easygoing
omkjøring,diversion
"omkjøring, avledning, adspredelse",diversion
omkostning,expenses
omkrets,circuit
omkring,about
omreisende,itinerant
omringe,hem in
omsette,decipher
omskjære,circumcise
omslag,"cover, jacket"
"omslag, jakke",jacket
omstendighet,circumstance
omstridt,disputed
omtrent,about
omtrentlig,approximate
omtumlet,dazed
omtåket,groggy
omvei,detour
omvendt,"inverse, inverted"
ond,evil
"ond, onde",evil
onde,evil
onkel,uncle
onsdag,wednesday
opera,opera
oppblåsing,inflation
oppblåst,inflated
oppbyggelig,edifying
oppdage,"detect, discover"
"oppdage, merke",detect
oppdagelse,discovery
oppdagelsesreisende,explorer
"oppdagelsesreisende, utforsker",explorer
oppdager,discoverer
oppdiktet,fictitious
oppdiktning,fiction
oppdrag,"commission, errand, mission"
oppe,"upstairs, on top, overhead, above"
"oppe, ovenpå","on, top overhead upstairs"
oppfatte,catch
oppfinne,invent
oppfinnelse,invention
oppfinner,inventor
oppfinnsom,"ingenious, inventive"
oppfordre,invite
oppfordring,invitation
"oppfordring, invitasjon",invitation
oppfullelse,fulfilment
oppfylle,fulfil
oppfølging,follow up
oppføre,erect
oppførelse,erection
"oppførelse, ereksjon",erection
oppførsel,"behaviour, conduct demeanour, conduct, deportment, demeanour deportment"
oppgave,function
oppgi,forsake
"oppgi, svikte",forsake
opphavsmann,author
"opphavsmann, forfatter",author
opphengning,hanging
"opphengning, hengning",hanging
opphisse,excite
opphisselse,excitement
opphisset,inflamed
opphold,lull
oppholde,detain
"oppholde, holde tilbake",detain
opphopning,congestion
opphøre,"cease, fold up"
opphøye,exalt
"opphøye, lovprise",exalt
opphøyelse,exaltation
oppjaget,hurried
opplag,"edition, impression"
opplevelse,adventure
"opplevelse, eventyr",adventure
opplyse,"enlighten, lighten"
opplysning,"illumination, information"
"opplysning, belysning",illumination
opplyst,enlightened illuminated
oppløftet,lofty
oppløp,finish
oppløse,"disintegrate, dissolve"
"oppløse, nedbryte",disintegrate
oppløselig,dissolvable
oppløsning,solution
oppmerksomhet,attention
oppmuntre,"hearten, foster, encourage, lighten"
"oppmuntre, fostre, ha i pleie",foster
oppmuntrende,heartening
oppmuntring,"encouragement, incentive"
oppnå,"attain, win, earn, gain"
oppreist,erect
opprette,"establish, found, institute"
"opprette, etablere",establish
oppriktig,"candid, frank, ingenuous"
"oppriktig, ærlig",candid
opprinnelig,aboriginal
opprømt,exhilarated
opprømthet,exaltation
"opprømthet, opphøyelse",exaltation
opprør,insurrection
oppsetsig,insubordinate
"oppsetsig, ulydig",insubordinate
oppskjørtet,flustered
oppskrift,formula
"oppskrift, formel",formula
oppslagsord,headword
oppslukt,engrossed
oppspinn,fabrication
oppspore,ferret
oppstyr,fuss
"oppstyr, mase",fuss
oppstøt,belch
"oppstøt, rap",belch
oppsummere,enumerate
oppsvulmet,bloated
opptaksprøve,exam
opptatt,"busy, engaged"
"opptatt, forlovet",engaged
"opptatt, travel, opptatt",busy
opptrapping,escalation
opptre,appear
oppvarming,heating
oppvask-klut,dish cloth
oppvaskmaskin,dishwasher
oppvisning,display
orange,orange-coloured
ord,word
ordbok,"dictionary, vocabulary"
"ordbok, vokabular",vocabulary
ordkløveri,quibbling
ordliste,glossary
ordne,fix
ordning,arrangement
ordre,"indent, instructions"
"ordre, bruksanvisning, instruks",instructions
"ordre, skjære hakk i",indent
ordrett,literal
"ordrett, bokstavelig",literal
original,freak
orkan,hurricane
orm,"serpent, snake"
ost,cheese
ovenpå,"on top, upstairs, above, overhead"
"ovenpå, over, oppe",above
over,"over, above"
overalt,everywhere
overbevise,convince
overbærende,indulgent
overbærenhet,"forbearance, indulgence"
"overbærenhet, ettergivenhet",indulgence
overdreven,"excessive, inordinate, immoderate"
"overdreven, umåtelig",immoderate
overdrive,exaggerate
overdrivelse,exaggeration
overdådig,"lavish, luxurious"
"overdådig, ødsle bort",lavish
overensstemmelse,accordance
overflate,face
overflod,"exuberance, abundance"
"overflod, frodighet, begeistring",exuberance
"overflod, rikelig",abundance
overfylt,crowded
overføring,transfusion
overgrep,"encroachment, harassment"
overgå,"excel, exceed"
"overgå, utmerke seg",excel
overhengende,"impending, imminent"
"overhengende, forestående",imminent
"overhengende, nær forestående",impending
overlagt,deliberate
overlegen,haughty
overlesset,florid
overmål,excess
overraske,surprise
overrisle,irrigate
"overrisle, vanne",irrigate
overrisling,irrigation
"overrisling, vanning",irrigation
overse,ignore
oversette,translate
overskrevs,astride
overskride,exceed
"overskride, overgå",exceed
overskridelse,excess
"overskridelse, overmål",excess
overskrift,"headline, caption"
overslag,estimate
overstrømmende,"effusive, exuberant"
"overstrømmende, frodig",exuberant
oversvømmelse,"deluge, flood"
overtale,"coax, induce"
overtre,contravene infringe
overtredelse,"contravention, infringement"
overveie,consider
overveielse,consideration
overveiende,largely
ovn,"furnace, oven, stove, kiln"
pakke,"packet, parcel"
pakning,gasket
panikk,panic
panisk,frantic
panne,forehead
pannelugg,fringe
panser,bonnet
pant,"forfeit, gage"
papiljott,curler
papir,paper
"papir, dokument",paper
papirdrage,kite
papirkurv,litterbin
par,"couple, pair"
paraply,umbrella
pare seg,copulate
parere,fend off
"parere, avverge",fend off
park,park
parkeringsplass,"car park, lay-by, parking garage, parking bay"
parykk,hairpiece
"parykk, tupè",hairpiece
pass,passport
passe,interlock
"passe, lås, sperre, blokkere",interlock
passende,"appropriate, fitting, eligible, fit, convenient"
"passende, montering",fitting
"passende, valgbar",eligible
passiva,liabilities
pastill,lozenge
patron,cartridge
pauke,kettledrum
pause,"interval, intermission, interlude"
"pause, avbrytelse",intermission
pedal,pedal
peis,hearth
pekefinger,"forefinger, index"
pels,"fur, coat piece"
pelskåpe,furcoat
pelsverk,furs
pen,"fine, beautiful"
pendle,commute
pengepung,"purse, wallet"
penger,money
penn,pen
pensum,curriculum
"pensum, undervisningsplan",curriculum
pepper,pepper
periferi,circumference
periodisk,intermittent
perle,"bead, pearl"
permisjon,leave
persille,parsley
personlig,individual
"personlig, individ, særskilt, individuell",individual
pessar,diaphragm
piano,piano
piggstav,goad
piggtråd,barbed wire
pike,girl
"pike, jente",girl
pil,arrow
pile,flit
"pile, smette",flit
pilk,jig
pille,"pill, husk"
pine,"anguish, pain"
"pine, kval",anguish
"pine, smerte",pain
pinnsvin,hedgehog
pirke,pick
pirrelig,excitable
piske,"flog, lash, flogging"
"piske, pisking, pryl",flogging
"piske, øyenvipp, piskeslag, snert",lash
piskeslag,lash
pisking,flogging
plage,"harass, infest, harassment"
plagg,garment
plan,level
planeter,planets
planteetende,herbivorous
plass,"place, plaza, public square"
"plass, punkt",spot
plassere,locate
"plassere, lokalisere",locate
plassering,location
"plassering, sted",location
plaster,plaster
platespiller,record-player
plattfot,flat-footed
plettfri,impeccable
plikt,duty
pliktoppfyllende,dutiful
"pliktoppfyllende, lydig",dutiful
plombe,filling
"plombe, fyll",filling
plombere,fill
"plombere, fyll, fylle",fill
plomme,plum
plukke,gather
plukke i,pick
"plukke, forstå, øke, samle",gather
plump,gross
